TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
1001020100,0,89,1845,899,946,2.4,86.3,5.2,0.0,1.2,0.0,1407,67826.0,14560.0,33018.0,6294.0,10.7,20.8,38.5,15.6,22.8,10.8,12.4,94.2,3.3,0.0,0.5,0.0,2.1,24.5,881,74.2,21.2,4.5,0.0,4.6
1001020200,0,89,2172,1167,1005,1.1,41.6,54.5,0.0,1.0,0.0,1652,41287.0,3819.0,18996.0,2453.0,22.4,35.8,30.5,24.9,22.9,6.3,15.4,90.5,9.1,0.0,0.0,0.5,0.0,22.2,852,75.9,15.0,9.0,0.0,3.4
1001020300,0,89,3385,1533,1852,8.0,61.4,26.5,0.6,0.7,0.4,2480,46806.0,9496.0,21236.0,2562.0,14.7,21.1,27.9,19.4,33.3,9.9,9.6,88.3,8.4,0.0,1.0,0.8,1.5,23.1,1482,73.3,21.1,4.8,0.7,4.7
1001020400,0,89,4267,2001,2266,9.6,80.3,7.1,0.5,0.2,0.0,3257,55895.0,4369.0,28068.0,3190.0,2.3,1.7,29.0,16.6,25.8,9.1,19.5,82.3,11.2,0.0,1.5,2.9,2.1,25.9,1849,75.8,19.7,4.5,0.0,6.1
1001020500,0,89,9965,5054,4911,0.9,77.5,16.4,0.0,3.1,0.0,7229,68143.0,14424.0,36905.0,10706.0,12.2,17.9,48.8,13.8,20.5,3.5,13.4,86.9,11.2,0.0,0.8,0.3,0.7,21.0,4787,71.4,24.1,4.5,0.0,2.3
1001020600,0,89,3620,1765,1855,3.0,70.7,25.1,0.0,0.0,0.0,2687,44549.0,16126.0,27038.0,4427.0,13.6,20.2,25.2,24.6,29.0,8.1,13.1,83.0,4.8,0.0,0.7,3.5,8.0,21.1,1364,84.0,14.1,1.9,0.0,6.1
1001020700,0,89,3420,1459,1961,4.0,78.0,13.7,0.6,0.0,0.0,2538,41250.0,16811.0,19028.0,2587.0,27.0,27.7,25.4,35.0,21.6,5.6,12.4,89.0,11.0,0.0,0.0,0.0,0.0,16.4,1418,77.4,17.6,5.0,0.0,16.9
1001020801,0,89,2913,1495,1418,4.2,86.3,7.1,1.5,0.0,0.0,2163,80089.0,13397.0,36631.0,5174.0,12.0,25.1,46.0,9.1,30.6,8.3,6.0,89.5,4.6,0.0,0.0,0.7,5.2,24.6,1369,72.7,17.5,8.8,1.0,7.2
1001020802,0,89,11333,5488,5845,1.4,81.8,15.3,0.0,1.0,0.0,8248,64439.0,8677.0,26621.0,2187.0,14.7,21.8,36.8,20.2,19.6,9.3,14.0,89.1,8.7,0.0,0.0,0.0,2.2,27.4,4857,70.1,22.5,7.4,0.0,2.2
1001020900,0,89,6167,3111,3056,1.0,86.2,9.7,0.8,0.3,0.0,4710,49469.0,15517.0,26726.0,3839.0,9.4,13.2,32.3,12.7,20.1,6.4,28.6,77.2,11.9,0.0,0.0,5.0,5.9,35.6,2781,80.4,14.5,5.0,0.0,6.8
1001021000,0,89,2796,1440,1356,0.8,71.5,25.7,0.8,0.0,0.0,2132,46607.0,2948.0,21482.0,2721.0,17.1,32.8,30.1,13.8,19.9,21.9,14.3,83.9,9.9,1.2,3.5,0.4,1.1,35.6,1202,75.4,19.0,5.7,0.0,6.0
1001021100,0,89,3153,1487,1666,0.7,46.3,53.0,0.0,0.0,0.0,2513,36450.0,12224.0,23309.0,4648.0,18.6,22.2,19.4,21.9,29.6,10.0,19.1,80.5,13.7,0.0,0.4,3.2,2.1,31.8,1270,69.4,24.7,5.8,0.0,5.4
1003010100,0,97,3988,2170,1818,0.3,75.4,18.3,5.1,0.0,0.0,3258,41387.0,9150.0,21056.0,3467.0,10.5,8.3,28.4,21.8,21.0,13.1,15.6,92.4,4.3,0.4,0.0,2.1,0.7,39.3,1598,73.8,20.4,5.8,0.0,5.8
1003010200,0,97,3259,1522,1737,0.3,86.7,10.5,0.7,0.0,0.0,2304,33769.0,7589.0,20639.0,3994.0,26.5,48.2,17.8,22.2,25.3,11.3,23.4,93.8,2.5,0.2,0.8,2.8,0.0,29.0,1340,84.4,9.6,6.0,0.0,7.8
1003010300,0,97,9056,4378,4678,2.6,79.2,15.9,0.9,0.0,0.0,6505,49583.0,12703.0,23961.0,3308.0,6.0,3.9,33.6,16.4,22.6,8.8,18.6,79.1,15.3,0.0,0.8,1.2,3.7,31.1,3340,83.5,14.5,2.0,0.0,3.9
1003010400,0,97,4810,2436,2374,5.0,84.4,8.4,1.1,0.3,0.0,3418,47178.0,5626.0,25277.0,3864.0,10.4,8.9,32.1,14.3,21.2,17.6,14.7,84.3,9.9,0.0,1.6,3.1,1.2,29.5,2002,83.3,9.4,7.3,0.0,7.4
1003010500,0,97,5038,2750,2288,1.6,81.6,14.6,0.3,0.7,0.0,3853,41071.0,10328.0,22266.0,2059.0,18.6,33.4,33.3,17.9,25.2,10.2,13.3,91.6,3.7,0.0,0.2,0.0,4.5,23.6,1767,67.3,25.2,7.4,0.0,4.4
1003010600,0,97,3418,1682,1736,3.9,26.7,69.4,0.0,0.0,0.0,2393,27722.0,7776.0,16957.0,4622.0,29.8,41.2,16.3,24.7,22.5,11.6,24.9,87.4,6.0,0.0,1.5,1.5,3.6,19.2,1269,84.1,13.0,2.9,0.0,5.9
1003010701,0,97,8068,3966,4102,4.3,92.1,1.4,0.3,0.7,0.0,5942,80800.0,9357.0,40060.0,3297.0,3.5,0.8,56.0,8.3,21.3,6.8,7.5,91.8,2.8,0.0,0.9,0.4,4.1,26.4,3727,76.4,19.5,3.7,0.4,2.3
1003010703,0,97,17748,8863,8885,2.6,83.8,6.0,0.0,1.9,0.0,12479,87373.0,8542.0,36329.0,2805.0,3.5,2.0,49.7,9.9,24.5,6.8,9.1,87.6,5.3,0.3,0.3,1.6,5.0,30.7,8999,81.2,14.2,4.6,0.0,2.9
1003010704,0,97,5883,2799,3084,3.6,77.7,17.5,0.0,0.7,0.0,4055,70132.0,10800.0,27931.0,4300.0,10.3,10.2,41.6,12.3,28.9,7.4,9.7,87.6,6.9,0.0,0.0,1.1,4.3,29.4,2647,81.1,11.9,7.0,0.0,5.5
1003010705,0,97,9704,4754,4950,3.7,77.1,15.9,0.0,0.8,0.0,7529,55217.0,8222.0,28211.0,2828.0,12.2,14.6,34.0,20.1,32.9,4.1,8.8,95.1,1.7,0.0,0.0,0.5,2.7,27.9,5610,90.6,8.1,1.3,0.0,5.6
1003010800,0,97,7499,3754,3745,0.5,72.9,22.2,0.0,3.4,0.0,5655,62684.0,14104.0,36263.0,5691.0,12.5,12.3,41.3,14.1,23.1,3.8,17.7,88.6,5.2,1.5,0.1,0.0,4.6,24.2,3305,85.7,11.3,3.0,0.0,7.4
1003010903,0,97,5688,3144,2544,5.4,76.0,16.2,2.1,0.0,0.0,4558,49286.0,6815.0,19966.0,1535.0,14.8,11.9,25.2,19.5,31.7,12.7,10.9,88.4,7.4,0.0,0.8,1.2,2.2,34.1,2246,78.7,15.9,5.4,0.0,2.9
1003010904,0,97,6342,3239,3103,9.7,83.7,1.5,3.6,0.3,0.0,4818,50411.0,7448.0,24219.0,3538.0,16.1,26.3,24.1,22.8,24.6,17.2,11.2,81.4,5.9,0.0,0.0,6.8,6.0,31.3,2733,74.7,15.1,10.2,0.0,2.1
1003010905,0,97,8009,4107,3902,5.6,92.1,1.7,0.3,0.0,0.0,6276,45067.0,7295.0,24998.0,2908.0,14.2,17.4,17.8,17.4,29.3,18.4,17.1,81.5,5.5,0.0,1.7,0.5,10.7,25.1,4051,76.2,11.3,12.5,0.0,1.1
1003010906,0,97,5473,2543,2930,12.1,82.2,3.6,1.7,0.0,0.0,3767,44804.0,5353.0,19118.0,2862.0,12.6,17.0,24.0,17.8,22.9,18.0,17.2,85.3,12.5,0.0,0.4,0.0,1.7,27.5,2045,89.2,8.1,2.7,0.0,2.5
1003011000,0,97,4072,2134,1938,7.3,80.5,4.5,5.7,0.0,0.0,3295,35490.0,9090.0,21487.0,3299.0,18.7,27.8,21.7,31.9,23.1,7.7,15.6,75.0,12.4,0.0,3.8,0.2,8.6,22.4,1618,79.9,6.6,13.6,0.0,5.3
1003011101,0,97,10485,4676,5809,8.3,85.4,2.8,0.4,1.5,0.0,7493,64486.0,7729.0,31445.0,2958.0,5.7,6.5,40.8,26.0,22.8,3.2,7.2,84.5,6.2,0.0,2.2,1.1,6.0,22.7,4605,83.6,9.5,6.9,0.0,4.9
